Company,Title,Location,Salary,Info,Post date,Company Verified,HR Agency,Reservation
Ektos,"Hardware Developer, інженер-електронік",Дистанційно,Не вказано,https://www.work.ua/jobs/5826304,Не вказано,True,False,False
Япіко,Програміст BAS,Дистанційно,Не вказано,https://www.work.ua/jobs/6597298,Не вказано,True,False,False
AntiSchool Online,Fullstack-розробник (React/Node.js/Next.js),Дистанційно,50 000 – 60 000 грн,https://www.work.ua/jobs/7326175,2025-10-29 19:06:24,True,False,False
Obnova,"Програміст 1С, BAS",Дистанційно,Не вказано,https://www.work.ua/jobs/4895456,2025-10-29 16:59:07,True,False,False
"Рарог, 427-й окремий полк безпілотних систем",Програміст,Вся Україна,50 000 – 70 000 грн,https://www.work.ua/jobs/7082608,Не вказано,True,False,False
"Сузір'я, ГК",Програміст BAS,Дистанційно,Не вказано,https://www.work.ua/jobs/7325404,2025-10-29 16:32:53,True,False,False
Dormeo Home,"Senior Frontend Developer (React.js, Magento 2)",Дистанційно,Не вказано,https://www.work.ua/jobs/6545422,2025-10-29 16:28:02,False,False,False
HYS Enterprise,Intern Front-End Developer (Angular),Дистанційно,Не вказано,https://www.work.ua/jobs/6729502,2025-10-29 16:18:11,True,False,False
FansCRM,Senior PixiJS Developer,Дистанційно,80 000 – 100 000 грн,https://www.work.ua/jobs/5615282,2025-10-29 14:39:44,True,False,False
Piche Ltd,Mid-level .NET Developer,Дистанційно,72 000 – 100 000 грн,https://www.work.ua/jobs/7023205,2025-10-29 14:17:41,False,False,False
CityHost,"PHP Developer (Full Stack, Legacy-проєкти)",Дистанційно,Не вказано,https://www.work.ua/jobs/4161218,2025-10-29 12:02:52,True,False,False
AdKey.Agency,"Android Developer, Team Lead (Senior)",Дистанційно,Не вказано,https://www.work.ua/jobs/7166989,2025-10-29 11:30:38,False,False,False
"Еріар, ТОВ","Fullstack-програміст, AI Automation Developer (Python + React, Telegram, GPT)",Дистанційно,Не вказано,https://www.work.ua/jobs/7322227,2025-10-29 10:06:35,True,False,False
RedHead Family Corporation,Senior Laravel developer,Дистанційно,Не вказано,https://www.work.ua/jobs/6452761,2025-10-29 10:01:16,True,False,False
SpreadLogics,"Reporting, Data Visualization, Automation Specialist",Дистанційно,Не вказано,https://www.work.ua/jobs/7322089,2025-10-29 09:47:32,False,False,False
Акваполіс,Провідний програміст 1С,Дистанційно,90 000 – 120 000 грн,https://www.work.ua/jobs/5011022,2025-10-29 09:44:02,True,False,False
"Комплексне управління бізнес-процесами, ТОВ",Програміст BAF/1С,Дистанційно,30 000 – 90 000 грн,https://www.work.ua/jobs/3280046,2025-10-29 09:39:10,True,False,False
Fort.B2B,Розробник 1C,Дистанційно,50 000 – 80 000 грн,https://www.work.ua/jobs/5557944,2025-10-29 09:32:11,True,False,False
Romaniuk AI,Full-stack програміст,Дистанційно,84 000 – 167 000 грн,https://www.work.ua/jobs/7321948,2025-10-29 09:22:18,True,True,False
92 ОШБр ім. І. Сірка,Програміст,Вся Україна,20 000 – 120 000 грн,https://www.work.ua/jobs/6173695,Не вказано,False,False,False
Varus,"Інженер-програміст, middle Java developer",Дистанційно,Не вказано,https://www.work.ua/jobs/7211035,2025-10-29 06:46:03,True,False,True
Fort.B2B,Розробник 1C,Дистанційно,Не вказано,https://www.work.ua/jobs/7012861,2025-10-29 04:37:02,True,False,False
Dormeo Home,"Senior Backend Developer (Magento 2, PHP)",Дистанційно,Не вказано,https://www.work.ua/jobs/6545404,2025-10-29 01:10:05,False,False,False
"Лобарева А., ФОП",Junior Web Developer,Дистанційно,20 000 – 40 000 грн,https://www.work.ua/jobs/7321687,2025-10-29 00:03:03,False,False,False
Helsi,Middle Business Intelligence Developer (ID 336),Дистанційно,Не вказано,https://www.work.ua/jobs/7321522,2025-10-28 20:44:52,True,False,False
Nix,Middle Full Stack .Net Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/6343717,2025-10-28 18:28:57,False,False,False
"EVA, лінія магазинів",Middle MS SQL Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7063159,2025-10-28 15:48:24,True,False,False
ANVI,Full Stack Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7319998,2025-10-28 15:36:08,True,False,False
UncleSolutions,"Python developer, Mentor",Дистанційно,Не вказано,https://www.work.ua/jobs/7319875,2025-10-28 15:19:18,True,False,False
Vega Telecom,Інженер/-ка-програміст/-ка,Дистанційно,Не вказано,https://www.work.ua/jobs/7319647,2025-10-28 14:51:38,True,False,True
4K-Soft,Junior iOS Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/6921763,2025-10-28 14:37:54,True,False,False
"Арти, ООО","Програміст 1C, BAF",Дистанційно,35 000 грн,https://www.work.ua/jobs/4479875,2025-10-28 14:28:10,True,False,False
"Новотест, ООО","Embedded-розробник, інженер-електронщик",Дистанційно,Не вказано,https://www.work.ua/jobs/6623866,2025-10-28 14:12:10,True,False,False
Proxy-Seller,"Strong Middle, Senior Back-end Developer",Дистанційно,80 000 – 220 000 грн,https://www.work.ua/jobs/5343462,2025-10-28 14:06:09,True,False,False
23 ОМБр,Програміст (в/ч),Вся Україна,20 800 – 50 000 грн,https://www.work.ua/jobs/6636724,Не вказано,True,False,False
Dark by Rior,Програміст (BAF),Дистанційно,75 000 – 80 000 грн,https://www.work.ua/jobs/7319203,2025-10-28 13:56:38,True,False,False
Хорошоп,PHP developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7317661,2025-10-28 13:26:22,True,False,False
Rezet,Full Stack developer (JavaScript),Дистанційно,Не вказано,https://www.work.ua/jobs/5991648,2025-10-28 13:01:09,True,False,False
SplendidScore Ukraine,Interactive AR Game Developer,Дистанційно,70 000 – 71 000 грн,https://www.work.ua/jobs/6965575,2025-10-28 12:49:09,True,True,False
Awsmd,Node.js-розробник,Дистанційно,56 000 грн,https://www.work.ua/jobs/7309732,2025-10-28 12:36:28,False,False,False
DevPace,Middle/Middle + .Net developer,Дистанційно,80 000 – 120 000 грн,https://www.work.ua/jobs/6898456,2025-10-28 12:32:08,True,False,False
"Ольвія, корпорація","Розробник (1С, BAS)",Дистанційно,Не вказано,https://www.work.ua/jobs/6790534,2025-10-28 11:25:03,True,False,False
"БусСистем, ТзОВ",PHP Web Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7237087,2025-10-28 10:58:04,True,False,False
Akkerman Solutions Ukraine,Embedded C++ Software developer,Дистанційно,85 000 – 170 000 грн,https://www.work.ua/jobs/7317196,2025-10-28 10:09:45,True,False,False
Halo Lab,"Python Fullstack developer (FastAPI, React)",Дистанційно,Не вказано,https://www.work.ua/jobs/7295602,2025-10-28 08:38:04,True,False,False
Vchasno Group,Розробник 1С,Дистанційно,Не вказано,https://www.work.ua/jobs/6279104,2025-10-28 08:02:02,True,False,False
"EVA, лінія магазинів",Corezoid developer,Дистанційно,Не вказано,https://www.work.ua/jobs/6930610,2025-10-28 06:56:04,True,False,False
Компанія прихована,Backend-розробник,Дистанційно,70 000 – 100 000 грн,https://www.work.ua/jobs/7264963,2025-10-28 05:19:03,True,False,False
"Омега, ТОВ",Програміст 1C,Дистанційно,Не вказано,https://www.work.ua/jobs/6336070,2025-10-28 05:10:02,True,False,False
SkyFall в/ч 3027 НГУ (Батарея зенітних БпАК),Інженер-програміст БПЛА,Вся Україна,25 000 – 125 000 грн,https://www.work.ua/jobs/6736831,Не вказано,True,False,False
Meest China,Розробник 1C,Дистанційно,Не вказано,https://www.work.ua/jobs/7233403,2025-10-28 05:09:04,True,False,False
Алло,Програміст 1C,Дистанційно,Не вказано,https://www.work.ua/jobs/6703171,2025-10-28 04:38:02,True,False,False
25 Coffee Roasters,Програміст Opencart,Дистанційно,Не вказано,https://www.work.ua/jobs/7204537,2025-10-28 01:57:01,True,False,False
"Сoffeeok, e-commerce company",Програміст 1С,Дистанційно,50 000 грн,https://www.work.ua/jobs/3764239,2025-10-28 01:36:02,True,False,False
Innovation Group,Senior PHP/Symfony Developer to RnD,Дистанційно,Не вказано,https://www.work.ua/jobs/7206664,2025-10-28 01:16:03,True,False,False
Rational Soft,Senior SQL Developer (Automotive Project),Дистанційно,Не вказано,https://www.work.ua/jobs/7108648,2025-10-27 23:26:20,True,False,False
TPE,"Python-розробник (Selenium, Anti-Detect, Proxy)",Дистанційно,Не вказано,https://www.work.ua/jobs/7316566,2025-10-27 22:55:54,False,False,False
TPE,Розробник Golang/Python (скрапінг),Дистанційно,Не вказано,https://www.work.ua/jobs/7316548,2025-10-27 22:37:30,False,False,False
А4,"Програміст 1С, BAS",Дистанційно,Не вказано,https://www.work.ua/jobs/5379047,2025-10-27 19:41:50,True,False,False
Seals Game,Unity 3D програміст,Дистанційно,Не вказано,https://www.work.ua/jobs/7316224,2025-10-27 19:08:39,False,False,False
Plitkashop,"Junior Back-End, Full Stack Developer (PHP, JS)",Дистанційно,28 000 – 40 000 грн,https://www.work.ua/jobs/7316164,2025-10-27 18:47:58,True,False,False
Clickenrent,Налаштувач з підтримки ERP Odoo,Дистанційно,35 000 – 70 000 грн,https://www.work.ua/jobs/7315927,2025-10-27 17:44:17,True,False,False
RedHead Family Corporation,Розробник 1C,Дистанційно,Не вказано,https://www.work.ua/jobs/6008193,2025-10-27 17:16:27,True,False,False
DTEK,"Senior Creatio Business Analyst, Low-Code Developer",Дистанційно,Не вказано,https://www.work.ua/jobs/6636937,2025-10-27 17:15:38,True,False,False
39 ОББпС,Програміст баз даних,Вся Україна,100 000 – 130 000 грн,https://www.work.ua/jobs/7067800,Не вказано,False,False,False
Планета Кіно,Backend developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7315543,2025-10-27 16:58:14,True,False,False
Jeje.com.ua,Програміст BAS,Дистанційно,Не вказано,https://www.work.ua/jobs/7315267,2025-10-27 16:27:06,True,False,False
"Watsons Україна (ДЦ Україна, ТОВ)",BI developer,Дистанційно,Не вказано,https://www.work.ua/jobs/6581074,2025-10-27 16:18:05,True,False,False
Smartdigit,"Middle Android Mobile Developer (Kotlin, Multiplatform, KMM)",Дистанційно,55 000 – 80 000 грн,https://www.work.ua/jobs/6147682,2025-10-27 16:07:36,False,False,False
PNN Soft,Full Stack C#/.Net Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/5213555,2025-10-27 15:47:12,True,False,False
BlockFlow,Flutter Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7314760,2025-10-27 15:29:22,False,False,False
Foundation Coffee Roasters,Back end developer,Дистанційно,35 000 – 50 000 грн,https://www.work.ua/jobs/7150579,2025-10-27 15:28:17,True,False,False
Piche Ltd,"Team Lead, Front-End Developer",Дистанційно,147 500 – 190 000 грн,https://www.work.ua/jobs/5324195,2025-10-27 14:42:29,False,False,False
Flexus,Unity Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7174210,2025-10-27 14:29:51,False,False,False
MAUDAU,Програміст 1C,Дистанційно,Не вказано,https://www.work.ua/jobs/7111522,2025-10-27 14:18:21,True,False,False
Lookfort,"Python-розробник, Automation Engineer (B2B інтеграції та автоматизація)",Дистанційно,Не вказано,https://www.work.ua/jobs/7313587,2025-10-27 13:20:27,True,False,False
Innovation Technologies,Програміст 1С,Дистанційно,40 000 – 60 000 грн,https://www.work.ua/jobs/5194257,2025-10-27 12:18:44,True,False,False
"SkyUp, авіакомпанія",App developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7037785,2025-10-27 12:17:55,True,False,False
Bobolinks,"Middle, Senior Full-Stack Developer (Node.js)",Дистанційно,80 000 – 150 000 грн,https://www.work.ua/jobs/6782926,2025-10-27 11:57:03,False,False,False
"Рейд, 17 Полтавська бригада НГУ",Full stack developer,Вся Україна,25 000 – 125 000 грн,https://www.work.ua/jobs/7264828,Не вказано,True,False,False
Zviger LLC,Програміст 1C,Дистанційно,Не вказано,https://www.work.ua/jobs/6353530,2025-10-27 11:49:03,True,False,False
"ІС СІТІ, ТОВ",Middle C# (.NET) Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/6763072,2025-10-27 11:48:02,True,False,False
"Маслова Н.Н., ФЛП",Розробник 1C,Дистанційно,Не вказано,https://www.work.ua/jobs/7060510,2025-10-27 11:46:17,True,False,False
Ozzylogik LTD,Embedded C/C++ developer,Дистанційно,Не вказано,https://www.work.ua/jobs/6888850,2025-10-27 11:08:02,True,False,False
TenThousand,Intern Full-Stack Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/6982510,2025-10-27 11:01:45,False,False,False
Nix,"Middle FullStack, Python Developer",Дистанційно,Не вказано,https://www.work.ua/jobs/6502018,2025-10-27 10:19:36,False,False,False
Nix,Junior Java Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/5833273,2025-10-27 10:14:26,False,False,False
"Діром Ко, ТОВ",Програміст 1C,Дистанційно,Не вказано,https://www.work.ua/jobs/5198736,2025-10-27 10:09:08,True,False,False
Opti,Backend Java Developer (Middle+),Дистанційно,45 000 – 65 000 грн,https://www.work.ua/jobs/7051033,2025-10-27 10:01:42,True,False,False
DevIT Group,Shopify Theme Developer﻿﻿,Дистанційно,50 000 – 63 000 грн,https://www.work.ua/jobs/7228435,2025-10-27 09:50:05,True,False,False
Водаленд,Програміст 1C,Дистанційно,55 000 грн,https://www.work.ua/jobs/5561395,2025-10-27 09:45:05,True,False,False
TAT.ua,Front-end програміст,Дистанційно,40 000 – 50 000 грн,https://www.work.ua/jobs/7286689,2025-10-27 09:35:07,False,False,False
UniTalk,"Java Fullstack Developer (React, AI)",Дистанційно,Не вказано,https://www.work.ua/jobs/7187077,2025-10-27 09:18:41,True,False,False
ПриватБанк,Full Stack (PHP) Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7200718,2025-10-27 08:26:10,True,False,False
Третя окрема штурмова бригада ЗСУ,"Програміст вбудованих систем (прошивка, алгоритми, налагодження)",Вся Україна,Не вказано,https://www.work.ua/jobs/6271094,Не вказано,True,False,False
Nervous Group,Opencart developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7230082,2025-10-27 08:06:03,False,False,False
"ІС СІТІ, ТОВ",Middle Android Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7127953,2025-10-27 07:13:03,True,False,False
Innovation Group,Fullstack Golang developer (R&D),Дистанційно,Не вказано,https://www.work.ua/jobs/7202746,2025-10-27 06:20:04,True,False,False
Flo Lux,Middle Full-Stack Developer,Дистанційно,35 000 – 60 000 грн,https://www.work.ua/jobs/6931975,2025-10-27 06:06:06,True,False,False
"МХП, ПрАТ",Програміст К2,Дистанційно,Не вказано,https://www.work.ua/jobs/7286122,2025-10-27 05:56:01,True,False,False
SpaceCrew Finance Company,.NET developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7285642,2025-10-27 04:21:01,True,False,False
6 Weeks Marketing,Full-stack Developer,Дистанційно,30 000 – 60 000 грн,https://www.work.ua/jobs/6927529,2025-10-27 03:45:03,True,False,False
Європейські паливні рішення,Power BI Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7199266,2025-10-27 03:35:04,True,False,False
Royal Foam US,"Програміст-архітектор Headless-інфраструктури, Full Stack Developer (WordPress)",Дистанційно,45 000 – 60 000 грн,https://www.work.ua/jobs/7310968,2025-10-27 03:33:02,True,False,False
"Алеф, корпоративный департамент персонала","Front-розробник, Desktop-програміст",Дистанційно,Не вказано,https://www.work.ua/jobs/5660559,2025-10-27 03:03:05,True,False,False
Flo Lux,1С Senior developer,Дистанційно,Не вказано,https://www.work.ua/jobs/6768016,2025-10-27 02:56:04,True,False,False
Flo Lux,Senior Full Stack розробник,Дистанційно,Не вказано,https://www.work.ua/jobs/6767815,2025-10-27 01:57:04,True,False,False
DTEK,"IAM Specialist, Developer",Дистанційно,Не вказано,https://www.work.ua/jobs/7079242,2025-10-27 01:32:04,True,False,False
Pethouse,"Middle, Middle+ Front-End Developer",Дистанційно,Не вказано,https://www.work.ua/jobs/7231468,2025-10-27 00:38:04,True,False,False
63 ОМБр,"Програміст засобів РЕБ, військовослужбовець",Вся Україна,20 000 – 60 000 грн,https://www.work.ua/jobs/6269273,Не вказано,True,False,False
ZEZMAN,"BI Developer (Google BigQuery, Power BI, Python)",Дистанційно,Не вказано,https://www.work.ua/jobs/6673396,2025-10-27 00:35:04,True,False,False
Bike Employers,Drupal-програміст,Дистанційно,35 000 грн,https://www.work.ua/jobs/7276687,2025-10-26 16:40:37,False,False,False
"Нова пошта, ТОВ",PHP developer (back-end),Дистанційно,Не вказано,https://www.work.ua/jobs/6299365,2025-10-26 03:06:02,True,False,False
Yellow Recruiting Company,PHP Developer (Yii),Дистанційно,Не вказано,https://www.work.ua/jobs/7174228,2025-10-25 23:24:52,True,True,False
TS Ecom,Shopify Developer (Middle),Дистанційно,42 000 – 50 000 грн,https://www.work.ua/jobs/5843721,2025-10-25 15:25:13,False,False,False
ДІАС Україна,Android-програміст,Дистанційно,Не вказано,https://www.work.ua/jobs/7224793,2025-10-25 14:48:06,True,False,False
AIScreen Inc.,Junior Vue.js-розробник,Дистанційно,21 000 грн,https://www.work.ua/jobs/7214359,2025-10-25 11:54:08,False,False,False
"Кристал Телеком, ТОВ",Fullstack-розробник,Дистанційно,Не вказано,https://www.work.ua/jobs/7188781,2025-10-24 23:41:49,True,False,False
A.M.P Operations Ltd.,IOS Developer (Messaging App Start-Up),Дистанційно,122 095 – 219 771 грн,https://www.work.ua/jobs/7309270,2025-10-24 21:08:05,False,False,False
Білий вітер,"Kotlin Developer (Middle/Senior, Multiplatform)",Дистанційно,140 000 – 240 000 грн,https://www.work.ua/jobs/7309273,2025-10-24 20:10:38,True,False,True
HYS Enterprise,Junior Frontend Developer (Angular),Дистанційно,Не вказано,https://www.work.ua/jobs/7309069,2025-10-24 18:15:07,True,False,False
Starlight Media,Провідний програміст/програмістка BAS ERP,Дистанційно,Не вказано,https://www.work.ua/jobs/6990337,2025-10-24 17:39:03,True,False,False
Ozzylogik LTD,C/C++ developer,Дистанційно,Не вказано,https://www.work.ua/jobs/5652640,2025-10-24 17:17:09,True,False,False
Trendo,Junior PHP Backend Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7281556,2025-10-24 17:06:06,False,False,False
"Любарт, 20 бригада оперативно призначення НГУ",Розробник Webflow,Вся Україна,25 000 – 125 000 грн,https://www.work.ua/jobs/7196203,Не вказано,True,False,False
Midnight Works,IOS-программист,Дистанційно,Не вказано,https://www.work.ua/jobs/6285665,2025-10-24 13:45:04,False,False,False
InternetDevels,Програміст BAS,Дистанційно,Не вказано,https://www.work.ua/jobs/7306918,2025-10-24 13:00:06,True,False,False
Inango Ukraine,"DevOPS, Python Developer",Дистанційно,49 000 – 79 000 грн,https://www.work.ua/jobs/6675580,2025-10-24 12:04:20,True,False,False
"AMZ, Recruiting Agency",Middle Node.js Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/6937690,2025-10-24 10:48:02,False,True,False
ТехМін,Fullstack-розробник,Дистанційно,Не вказано,https://www.work.ua/jobs/6442231,2025-10-24 10:46:06,True,False,False
TraffBand,WordPress Developer (Full-Stack),Дистанційно,80 000 – 100 000 грн,https://www.work.ua/jobs/7102714,2025-10-24 10:33:08,True,False,False
Eleonsoft,"Trainee Fullstack Developer (.NET, C#, Angular, стажер)",Дистанційно,Не вказано,https://www.work.ua/jobs/6955405,2025-10-24 10:25:09,False,False,False
Midnight Works,Unity developer,Дистанційно,Не вказано,https://www.work.ua/jobs/5630954,2025-10-24 10:21:38,False,False,False
Midnight Works,Unreal Engine Game Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/5631168,2025-10-24 10:21:31,False,False,False
WOW Corporation,Програміст PHP (Full stack),Дистанційно,Не вказано,https://www.work.ua/jobs/5824090,2025-10-24 09:53:11,True,False,False
